gene,Mesen_EndoStromalFib_MenstrualEutopic,Mesen_EndoStromalFib_Prolif,Mesen_EndoStromalFib_eSec,Mesen_EndoStromalFib_lSec,Mesen_EndoStromalFib_mSec,Mesen_MyoFib
ENSG00000253927,0.6972711683764373,0.0,0.0,0.1925841674249317,0.0,0.0
ENSG00000254239,0.0,0.0,0.7151297362465667,0.0,0.0,0.0
ENSG00000236197,0.0743571737251512,0.6000052570150023,0.0,0.0,0.0,0.0
ENSG00000231170,0.0,0.0,0.7005167709212007,0.0647861692447679,0.2230164818706393,0.0
ENSG00000237819,0.2700770851738217,0.3582096641003168,0.0,0.0,0.0,0.0
ENSG00000223969,0.0673590957690545,0.0,0.0590273699048514,0.1875796178343949,0.0,0.6764592407343005
ENSG00000287292,0.0,0.3942514633061856,0.2452238394070004,0.0,0.0,0.0
ENSG00000223646,0.2124734771131722,0.148615960458128,0.0,0.0,0.0005060728744939,0.0
ENSG00000238202,0.5986768050330187,0.1122780299982759,0.0,0.0,0.0,0.3369696692777592
ENSG00000286390,0.5266042148964067,0.1300068961553933,0.0,0.0,0.0,0.0
ENSG00000241764,0.0,0.0,0.1810462892722295,0.1453594176524112,0.0,0.0
ENSG00000272829,0.0,0.0938020803402103,0.0,0.0411737943585077,0.0,0.4236383045563537
ENSG00000226872,0.0,0.0,0.6235986485297145,0.1533781753220192,0.0,0.0
ENSG00000232680,0.0,0.0,0.4922686545110215,0.3809359099184745,0.0323903582189487,0.0
ENSG00000259810,0.4643491769740416,0.3171965231930576,0.0,0.0,0.0,0.0
ENSG00000287829,0.6443287274099343,0.0,0.0,0.0,0.0,0.0
ENSG00000267653,0.1399335883781114,0.5033864348287499,0.0,0.0,0.0,0.0
ENSG00000261312,0.1065503406061007,0.0322107924831906,0.0,0.0,0.0,0.0
ENSG00000276571,0.2709846008761328,0.0,0.0,0.0,0.1175534991324465,0.0
ENSG00000227782,0.1523756355438507,0.0,0.0,0.0,0.0,0.0
ENSG00000261872,0.2100680708893171,0.0011206252514223,0.0,0.0,0.1835118896749999,0.0
ENSG00000262265,0.4475806491635635,0.1033130279868973,0.0,0.0,0.0,0.0
ENSG00000268266,0.0,0.4829716510796645,0.0,0.0,0.0775737420474262,0.0
ENSG00000287011,0.6695392713803638,0.0,0.0,0.0,0.0003347840642785,0.0
ENSG00000234826,0.3452739517357307,0.0,0.5451753183469108,0.0,0.0,0.0
ENSG00000287672,0.0,0.0,0.3806581132419647,0.0,0.5294548408249897,0.0
ENSG00000287093,0.0463213050993949,0.5572000452549335,0.0,0.0,0.0,0.0
ENSG00000228768,0.0,0.6008074170152176,0.0,0.0,0.0,0.0
ENSG00000260793,0.1184328869774356,0.2915294331690775,0.0,0.0,0.0,0.0
ENSG00000279159,0.1238101028280724,0.0,0.0,0.0,0.1434972310124284,0.0
ENSG00000268392,0.0,0.3321695630482491,0.0,0.0,0.0,0.0
ENSG00000234859,0.0,0.3541548839062733,0.0,0.1448438321743703,0.0,0.0
ENSG00000263325,0.7315990578907359,0.0237486351359117,0.0,0.0,0.0,0.0260293421675343
ENSG00000233824,0.0,0.0,0.0,0.69688016103854,0.0,0.0
ENSG00000232821,0.5757244076467736,0.0,0.0,0.0,0.0,0.0
ENSG00000236536,0.4554352689588244,0.1745580199207851,0.0,0.0,0.0,0.0
ENSG00000234223,0.0,0.0,0.3902846398475785,0.0774748311642777,0.3198815989395341,0.0
ENSG00000228113,0.3498174223715212,0.0039078213895753,0.2368867069726692,0.0,0.0,0.0
ENSG00000233942,0.3184752563374279,0.5213800124608408,0.0217848557692307,0.0,0.0,0.0
ENSG00000262482,0.4237155881022734,0.0877821811470014,0.0,0.0,0.0243637941006362,0.0
ENSG00000230612,0.3153750473973001,0.1876990317461322,0.0,0.0,0.0,0.0
ENSG00000248242,0.0,0.0,0.0,0.1941804893522885,0.1077916101835542,0.0
ENSG00000251259,0.0,0.193358826921857,0.0,0.0,0.0,0.0805581613508442
ENSG00000276449,0.0,0.2471403770261303,0.0,0.0,0.113504916136495,0.0
ENSG00000253508,0.0,0.1264438825354864,0.6414921260897202,0.0,0.0,0.0
ENSG00000254180,0.0156369329463876,0.3043852616159899,0.0,0.0,0.0,0.0
ENSG00000226851,0.4410015316081362,0.0938882822826274,0.0,0.0,0.0,0.0
ENSG00000271133,0.0,0.1266306534107235,0.0031422530247856,0.0,0.0,0.700136228092622
ENSG00000263272,0.0,0.0091805068674214,0.0,0.21717094773397,0.1118421052631579,0.0
ENSG00000267666,0.0,0.2585920225504218,0.0,0.0,0.0,0.0
ENSG00000260664,0.0,0.2754898682058084,0.0,0.0,0.0,0.0
ENSG00000230333,0.823281893275322,0.0,0.0,0.0,0.0,0.0
ENSG00000230435,0.8451765347634558,0.0,0.0,0.1494085532302092,0.0,0.0
ENSG00000267778,0.0,0.3047106792755678,0.0,0.0,0.0,0.0
ENSG00000234477,0.1652161621987625,0.4400766710215322,0.0,0.0,0.0,0.0
ENSG00000262899,0.5822501009412033,0.0,0.0,0.0,0.0818872091381914,0.0
ENSG00000257433,0.0,0.0,0.0580288969810877,0.0,0.0,0.0
ENSG00000276390,0.2053497078908254,0.0394804896270329,0.0,0.0,0.0,0.0800952226412212
